sampleID,sex,sample_type,weight,hemoglobin,cornea_morphology,grip_strength,heart_rate_bpm
E64-02861,male,mutant,29.8,13.9,normal,146.09334,741.0
E64-02862,male,mutant,29.2,14.6,normal,164.09166,781.0
E64-02863,male,mutant,30.6,15.4,right eye abnormal,154.135,790.0
E64-02864,female,mutant,23.4,14.2,right eye abnormal,146.476,761.0
E64-02865,female,mutant,21.3,14.7,normal,156.24133,755.0
E64-02866,female,mutant,22.9,14.4,normal,151.263,776.0
E64-02887,male,mutant,28.4,14.1,normal,151.26266,762.0
E64-02889,male,mutant,29.1,15.2,right eye abnormal,145.327,752.0
E64-02890,male,mutant,26.4,14.6,normal,168.687,812.0
E64-02891,male,mutant,26.0,14.4,normal,172.70767,755.0
E64-02892,female,mutant,22.2,13.3,normal,106.07533,768.0
E64-02893,female,mutant,21.2,14.9,right eye abnormal,137.28566,815.0
E64-02894,female,mutant,23.1,15.1,normal,176.92033,777.0
E64-02900,female,mutant,22.0,14.9,right eye abnormal,124.07367,800.0
E64-02901,female,mutant,22.2,15.0,normal,131.92433,802.0
064-EPJ77,female,control,22.6,14.2,normal,193.36667,826.0
64S-79628,male,control,22.11,15.3,normal,259.445,747.0
64S-79629,male,control,24.4,15.2,normal,222.108,742.0
64S-79630,male,control,23.5,15.4,normal,229.767,779.0
64S-79631,female,control,19.44,15.5,normal,192.621,758.0
64S-79632,female,control,19.4,15.1,right eye abnormal,188.40834,750.0
64Z-61012,male,control,26.8,14.5,normal,211.16667,704.0
64Z-61014,male,control,27.5,14.9,normal,238.73334,755.0
64Z-61015,male,control,26.4,14.3,normal,297.73334,717.0
64Z-61016,male,control,26.7,14.3,normal,176.16667,728.0
64Z-61018,male,control,26.0,15.2,normal,238.03334,805.0
64Z-61019,male,control,24.8,15.1,normal,197.2,625.0
64Z-61023,female,control,21.6,14.2,normal,219.03334,783.0
64Z-61024,female,control,20.6,14.6,normal,187.63333,716.0
64Z-61025,female,control,21.9,13.8,normal,223.23334,789.0
64Z-61026,female,control,22.8,14.5,normal,173.3,742.0
64Z-61027,female,control,18.6,12.3,normal,214.43333,654.0
64Z-61028,female,control,24.6,14.0,normal,199.33333,676.0
64Z-61029,female,control,21.0,10.6,normal,178.26666,736.0
64Z-61339,male,control,25.6,15.7,normal,209.85367,712.0
64Z-61340,male,control,28.7,14.8,normal,264.998,748.0
64Z-61341,female,control,19.38,14.5,left eye abnormal,212.917,725.0
64Z-61343,female,control,20.55,15.6,normal,217.321,773.0
64Z-61345,male,control,25.03,14.7,normal,280.69833,752.0
64Z-61346,male,control,22.81,14.1,normal,220.959,685.0
64Z-61347,male,control,29.9,14.5,normal,311.7,741.0
64Z-61348,male,control,22.3,13.9,normal,276.5,673.0
64Z-61349,male,control,27.7,14.9,normal,199.7,605.0
64Z-61350,male,control,28.2,13.4,right eye abnormal,203.93333,672.0
64Z-61351,female,control,22.2,14.6,normal,187.26,735.0
64Z-61352,female,control,22.8,14.1,right eye abnormal,168.66667,745.0
64Z-61353,female,control,24.1,14.2,normal,212.56667,759.0
64Z-61354,male,control,29.8,15.2,normal,301.36667,761.0
64Z-61355,male,control,29.8,14.4,normal,226.5,767.0
64Z-61358,female,control,25.0,14.4,normal,150.3,769.0
64Z-61359,female,control,22.4,14.1,left eye abnormal,124.86667,725.0
64Z-61360,female,control,23.8,14.4,normal,129.26666,744.0
64Z-61361,male,control,27.8,13.3,right eye abnormal,211.73334,738.0
81S-01204,female,control,23.6,14.2,normal,202.57767,788.0
81Z-02441,female,control,27.8,13.6,normal,196.312,732.0
81Z-02488,female,control,24.0,13.9,normal,254.65967,768.0
81Z-02489,female,control,23.8,12.1,normal,229.079,808.0
81Z-63769,male,control,29.0,12.2,normal,194.72734,818.0
81Z-63770,male,control,27.0,13.3,normal,223.63966,758.0
81Z-63771,male,control,28.7,14.2,normal,260.01965,801.0
81Z-63772,male,control,27.4,13.7,normal,225.17134,786.0
81Z-63773,male,control,27.9,13.8,normal,204.87534,736.0
81Z-63784,female,control,20.6,13.8,normal,228.235,797.0
81Z-63785,female,control,23.0,14.0,right eye abnormal,179.02667,682.0
81Z-63786,female,control,21.3,13.7,normal,188.21733,688.0
81Z-63787,female,control,24.4,13.4,normal,248.914,746.0
81Z-63788,female,control,22.7,13.1,left eye abnormal,211.00267,776.0
81Z-64188,female,control,25.4,13.6,normal,228.618,804.0
81Z-64189,male,control,25.4,13.7,right eye abnormal,246.99933,737.0
81Z-64190,male,control,27.8,13.4,normal,264.615,742.0
81Z-64191,female,control,21.4,13.6,normal,217.12933,787.0
81Z-64192,male,control,29.5,14.5,left eye abnormal,193.76967,682.0
81Z-64193,male,control,30.7,13.5,normal,244.89333,790.0
81Z-64194,female,control,23.1,13.6,normal,196.64233,780.0
81Z-64195,female,control,22.7,13.1,normal,240.48933,813.0
81Z-64196,female,control,24.6,13.4,normal,225.74567,749.0
81Z-64230,male,control,27.5,15.4,normal,233.78767,683.0
81Z-64232,female,control,24.5,12.2,normal,210.045,704.0
81Z-64234,female,control,23.7,13.8,normal,230.724,712.0
81Z-64235,female,control,26.5,14.2,normal,245.85066,753.0
81Z-64267,male,control,23.8,13.4,normal,225.36267,724.0
81Z-64268,male,control,24.9,13.8,normal,197.79066,671.0
81Z-64269,male,control,30.6,13.2,normal,241.44667,762.0
81Z-64270,male,control,25.9,12.9,normal,189.55766,709.0
81Z-64278,male,control,31.3,13.7,normal,270.93332,729.0
81Z-64279,female,control,29.3,14.2,normal,219.81,794.0
81Z-64280,female,control,26.5,14.4,normal,206.02434,727.0
81Z-64281,female,control,25.6,14.2,normal,200.663,696.0
81Z-64282,male,control,26.3,14.7,normal,224.597,681.0
81Z-64285,male,control,25.3,13.0,right eye abnormal,264.04034,699.0
81Z-64286,male,control,28.5,13.7,right eye abnormal,266.721,758.0
81Z-64287,female,control,20.8,14.3,normal,234.17067,763.0
81Z-64288,female,control,24.0,13.8,normal,234.554,719.0
81Z-64289,female,control,23.9,14.1,normal,222.29933,713.0
81Z-64296,male,control,27.8,13.9,normal,247.38234,679.0
81Z-64319,male,control,23.0,13.6,right eye abnormal,237.617,794.0
81Z-64320,male,control,24.6,14.5,normal,219.61867,787.0
81Z-64321,male,control,23.6,14.8,normal,233.02167,724.0
81Z-64322,male,control,25.3,13.3,normal,263.466,669.0
81Z-64323,female,control,22.1,14.0,normal,203.535,711.0
81Z-64324,female,control,23.0,13.5,normal,219.23567,731.0
81Z-64325,female,control,21.5,13.9,normal,219.42734,706.0
81Z-64326,female,control,21.2,14.1,normal,209.47067,700.0
81Z-65621,male,control,27.9,14.3,normal,282.42166,745.0
81Z-65622,male,control,26.9,13.8,normal,262.12534,760.0
81Z-65623,male,control,25.6,13.3,normal,233.213,699.0
81Z-65701,male,control,33.2,14.0,normal,231.29866,679.0
81Z-65702,male,control,27.1,14.6,normal,247.95667,735.0
81Z-65703,male,control,27.8,14.2,normal,227.66066,671.0
81Z-65704,male,control,28.2,13.8,left eye abnormal,230.34134,715.0
81Z-65717,female,control,23.4,13.6,normal,211.57666,785.0
81Z-65718,female,control,22.1,13.2,normal,210.23666,712.0
81Z-65719,female,control,20.9,13.3,normal,208.13034,779.0
81Z-65720,female,control,22.0,13.6,normal,229.95833,730.0
81Z-65721,female,control,18.7,13.5,normal,194.344,735.0
81Z-65877,male,control,30.7,12.9,left eye abnormal,197.79066,758.0
81Z-65878,male,control,29.5,13.2,normal,242.787,733.0
81Z-65879,male,control,27.9,13.4,normal,226.703,758.0
81Z-65880,male,control,29.6,13.5,normal,216.17233,687.0
81Z-65881,male,control,29.5,13.9,normal,206.21533,769.0
81Z-66216,male,control,25.8,14.8,normal,206.216,775.0
81Z-66229,male,control,27.6,13.2,right eye abnormal,193.38667,689.0
81Z-66230,male,control,31.0,14.0,normal,256.76468,728.0
81Z-66231,female,control,21.7,12.8,right eye abnormal,189.74867,801.0
81Z-66232,female,control,23.5,13.3,normal,206.02434,668.0
81Z-66233,female,control,22.5,13.6,normal,191.08934,625.0
81Z-66382,male,control,27.7,13.3,normal,248.531,718.0
81Z-66383,male,control,27.7,13.1,normal,256.76468,685.0
81Z-66462,male,control,27.2,12.3,normal,199.70534,781.0
81Z-82478,male,control,28.7,14.4,normal,210.61934,779.0
81Z-82479,male,control,24.3,14.3,normal,175.58,779.0
81Z-82480,female,control,20.6,14.7,normal,187.06833,787.0
81Z-82482,female,control,20.7,14.4,normal,187.643,793.0
81Z-82484,female,control,22.3,14.6,normal,210.61934,780.0
81Z-82485,female,control,22.8,14.6,normal,154.135,787.0
81Z-82486,female,control,22.2,14.3,normal,193.19566,780.0
81Z-82531,male,control,26.9,14.4,normal,222.68233,782.0
81Z-82532,male,control,27.1,14.0,normal,274.18866,746.0
81Z-82533,male,control,25.2,13.2,normal,191.66367,610.0
81Z-82535,male,control,28.3,13.7,normal,211.577,731.0
81Z-82536,male,control,25.1,13.8,normal,199.131,727.0
81Z-82537,male,control,25.3,14.2,normal,193.77034,727.0
81Z-82538,male,control,25.0,14.0,normal,161.21933,692.0
81Z-82539,female,control,21.0,14.0,normal,174.04834,775.0
81Z-82540,female,control,22.2,14.2,normal,206.21533,729.0
81Z-82542,female,control,20.8,13.8,normal,167.92134,722.0
81Z-82632,female,control,24.2,14.3,normal,192.42934,792.0
81Z-82653,female,control,25.5,13.3,normal,203.34334,780.0
81Z-82701,male,control,25.8,14.2,normal,197.59933,776.0
81Z-82702,male,control,30.4,11.1,normal,164.85733,784.0
81Z-82703,female,control,22.7,14.4,normal,172.51633,666.0
81Z-82982,male,control,27.0,13.9,normal,168.49533,806.0
81Z-82983,male,control,29.0,14.3,normal,185.728,791.0
81Z-82984,male,control,28.3,13.9,left eye abnormal,280.12433,724.0
81Z-82987,male,control,26.2,14.2,normal,216.55533,799.0
81Z-82988,male,control,29.9,13.9,normal,179.984,794.0
81Z-82989,male,control,30.0,14.2,normal,195.11034,802.0
81Z-82990,male,control,29.0,13.8,left eye abnormal,215.02333,711.0
81Z-83132,female,control,27.0,13.3,normal,221.15033,781.0
81Z-83148,female,control,22.8,13.7,normal,201.429,739.0
81Z-83196,female,control,24.4,13.6,both eyes abnormal,228.618,778.0
81Z-83197,female,control,23.3,12.9,left eye abnormal,211.194,694.0
81Z-83198,female,control,25.0,13.6,normal,209.47067,776.0
81Z-83199,female,control,23.5,14.1,normal,229.57533,794.0
81Z-83200,female,control,23.3,13.2,normal,233.59633,795.0
81Z-83380,male,control,27.8,13.7,right eye abnormal,176.34567,650.0
81Z-83389,male,control,29.8,13.9,right eye abnormal,134.22166,782.0
81Z-83456,male,control,28.7,13.4,right eye abnormal,178.069,801.0
81Z-83457,male,control,29.7,12.3,normal,187.06833,714.0
81Z-83459,male,control,26.9,12.9,normal,156.81567,785.0
81Z-84102,male,control,26.2,14.5,normal,229.958,773.0
81Z-84145,male,control,28.3,13.4,normal,203.152,742.0
81Z-84149,male,control,29.5,13.3,normal,216.172,751.0
81Z-84150,male,control,30.5,13.7,normal,243.74434,785.0
81Z-84151,male,control,27.9,13.9,normal,202.386,753.0
81Z-84152,male,control,27.9,14.0,normal,250.063,789.0
81Z-84153,male,control,29.5,12.9,normal,206.407,757.0
81Z-84186,male,control,29.7,13.7,normal,235.894,706.0
81Z-84187,male,control,30.1,13.7,normal,179.601,774.0
81Z-84188,male,control,30.1,13.7,normal,180.74966,758.0
81Z-84252,male,control,27.1,13.8,right eye abnormal,231.68134,750.0
81Z-84253,male,control,27.4,14.5,normal,273.99667,798.0
81Z-84656,male,control,29.5,13.6,normal,192.42967,753.0
81Z-84657,male,control,30.5,12.2,normal,176.15466,770.0
81Z-84731,male,control,28.1,13.8,left eye abnormal,274.95435,793.0
81Z-84732,male,control,29.2,14.0,normal,193.004,795.0
81Z-85001,male,control,38.1,13.4,normal,172.89934,795.0
81Z-85004,male,control,28.3,14.3,normal,226.70334,759.0
81Z-85005,male,control,27.8,13.9,normal,240.872,736.0
81Z-85043,male,control,21.9,14.5,normal,195.11,680.0
81Z-85044,female,control,23.5,15.1,normal,155.667,686.0
81Z-85076,male,control,33.8,13.1,normal,218.27834,720.0
81Z-85077,male,control,28.3,14.5,normal,162.94267,666.0
81Z-85078,male,control,24.2,14.4,normal,143.604,769.0
81Z-85079,male,control,27.3,14.1,normal,203.34367,748.0
81Z-85080,male,control,31.9,14.6,right eye abnormal,145.13567,741.0
81Z-85082,female,control,27.2,14.6,normal,183.622,771.0
81Z-85083,female,control,23.0,14.7,normal,145.71033,708.0
81Z-85084,male,control,32.0,13.9,right eye abnormal,169.07,727.0
81Z-85085,male,control,30.1,13.5,normal,196.45033,675.0
81Z-85086,female,control,23.9,14.8,normal,152.029,766.0
81Z-85087,female,control,21.8,14.5,normal,162.56,760.0
81Z-85088,female,control,23.8,13.7,normal,133.26433,713.0
81Z-85089,female,control,16.9,14.1,normal,108.5645,783.0
81Z-85199,female,control,25.3,13.4,normal,255.04134,733.0
81Z-85208,female,control,23.3,13.0,normal,198.17366,755.0
81Z-85209,female,control,21.0,13.3,normal,185.15334,727.0
81Z-85210,female,control,22.8,14.3,normal,203.152,759.0
81Z-85211,female,control,22.5,14.0,normal,188.40866,736.0
81Z-85418,female,control,23.6,14.1,normal,224.214,779.0
81Z-85419,female,control,24.3,13.9,normal,250.63733,771.0
81Z-85420,male,control,27.8,14.0,normal,260.78534,756.0
81Z-85421,male,control,30.7,14.9,normal,205.44966,742.0
81Z-85422,female,control,23.5,14.0,normal,204.87534,750.0
81Z-85423,female,control,23.1,14.4,right eye abnormal,195.49333,721.0
81Z-85424,female,control,23.5,14.1,normal,216.36366,725.0
81Z-85450,female,control,24.4,14.1,normal,198.93967,751.0
81Z-85451,female,control,23.0,15.1,normal,186.68533,782.0
81Z-85494,male,control,25.7,13.5,normal,205.64133,762.0
81Z-85496,male,control,28.6,14.2,normal,204.109,762.0
81Z-85498,male,control,29.1,13.6,normal,188.79167,725.0
81Z-85499,female,control,22.7,13.5,normal,215.21466,713.0
81Z-85500,female,control,22.1,14.5,normal,188.40866,762.0
81Z-85501,female,control,20.9,14.5,normal,212.91733,780.0
81Z-85502,female,control,22.4,13.7,normal,190.70633,842.0
81Z-85503,female,control,21.5,14.0,normal,197.98267,720.0
81Z-85504,female,control,20.7,14.1,normal,158.539,758.0
81Z-85505,female,control,20.5,13.3,normal,143.221,742.0
81Z-85553,female,control,21.1,13.4,normal,133.073,619.0
81Z-85554,female,control,24.4,14.1,normal,152.986,777.0
81Z-85555,female,control,22.7,14.7,normal,143.79567,551.0
81Z-85561,female,control,23.5,14.3,normal,159.30467,796.0
81Z-85562,female,control,22.0,14.1,normal,148.774,719.0
81Z-85563,female,control,23.8,13.7,normal,168.687,711.0
81Z-85581,female,control,23.1,14.0,normal,131.541,757.0
81Z-85582,female,control,21.2,13.2,right eye abnormal,166.198,734.0
81Z-85583,female,control,24.6,14.1,normal,161.98567,703.0
81Z-85584,female,control,22.7,14.1,right eye abnormal,136.90233,715.0
81Z-85712,male,control,29.8,14.2,normal,178.26067,768.0
81Z-85713,male,control,26.3,13.8,normal,153.3,764.0
81Z-85714,male,control,25.1,13.8,normal,317.27,777.0
81Z-85715,female,control,25.3,13.4,normal,165.049,763.0
81Z-85720,female,control,23.5,13.6,normal,164.85767,758.0
81Z-85721,female,control,24.3,13.6,normal,163.51733,775.0
81Z-85751,male,control,25.9,13.9,normal,237.80867,753.0
81Z-85752,male,control,26.6,13.8,normal,229.384,680.0
81Z-85753,male,control,29.9,12.5,normal,248.53133,736.0
81Z-85755,female,control,22.5,15.0,normal,230.34134,753.0
81Z-85756,female,control,21.1,13.8,normal,203.918,750.0
81Z-85757,female,control,21.9,14.6,normal,210.428,703.0
81Z-85762,female,control,21.7,14.0,normal,180.36667,728.0
81Z-85763,female,control,23.4,14.5,normal,196.642,714.0
81Z-85795,male,control,26.9,14.1,normal,227.852,830.0
81Z-85796,male,control,28.2,13.9,normal,213.30034,816.0
81Z-85800,female,control,22.1,14.0,normal,204.68367,699.0
81Z-85801,female,control,22.8,13.7,normal,188.217,717.0
81Z-85909,male,control,29.1,13.6,left eye abnormal,129.052,716.0
81Z-85929,male,control,26.7,14.4,right eye abnormal,183.622,752.0
81Z-85930,female,control,24.8,14.5,normal,147.81667,665.0
81Z-85970,male,control,26.3,14.1,normal,197.21634,723.0
81Z-85971,male,control,26.2,14.5,normal,197.98233,717.0
81Z-85972,female,control,24.7,14.7,normal,213.87466,790.0
81Z-85973,female,control,24.1,14.0,normal,212.72566,764.0
81Z-85993,male,control,27.5,13.4,normal,202.96033,800.0
81Z-86010,male,control,28.9,13.0,normal,202.195,697.0
81Z-86014,female,control,21.4,13.5,normal,190.32367,690.0
81Z-86015,female,control,21.2,14.6,normal,200.08833,752.0
81Z-86016,female,control,21.7,13.7,normal,204.301,755.0
81Z-86017,female,control,22.4,12.7,normal,189.55766,714.0
81Z-86018,female,control,21.2,13.9,normal,180.94133,768.0
81Z-86101,male,control,30.2,13.8,normal,221.72467,728.0
81Z-86144,female,control,22.4,13.3,normal,151.837,776.0
81Z-86145,female,control,23.0,14.0,normal,186.87666,774.0
81Z-86147,female,control,24.6,13.5,normal,153.752,735.0
81Z-86205,male,control,26.4,13.4,normal,122.925,788.0
81Z-86207,male,control,24.6,13.1,normal,160.262,768.0
81Z-86208,female,control,22.4,12.2,normal,157.58167,796.0
81Z-86209,female,control,21.1,13.2,normal,136.711,781.0
81Z-86210,female,control,18.6,14.5,normal,129.24367,797.0
81Z-86211,female,control,21.7,13.6,normal,157.007,649.0
81Z-86212,female,control,22.3,13.5,normal,124.265335,788.0
81Z-86224,male,control,27.6,13.0,normal,148.96533,824.0
81Z-86304,male,control,27.8,13.7,normal,216.74667,719.0
81Z-86306,male,control,28.6,13.3,normal,215.21466,780.0
81Z-86391,male,control,26.0,13.6,normal,229.767,760.0
81Z-86395,female,control,24.3,13.1,normal,238.766,751.0
81Z-86396,male,control,28.4,11.6,normal,231.49,767.0
81Z-86397,male,control,25.5,13.3,normal,221.91634,750.0
81Z-86401,female,control,22.6,14.8,normal,193.19533,760.0
81Z-86402,female,control,22.9,15.2,normal,186.11067,771.0
81Z-86403,female,control,26.5,14.8,normal,233.02167,799.0
81Z-86435,male,control,29.1,13.3,normal,204.49266,781.0
81Z-86437,male,control,29.3,14.9,normal,211.00233,771.0
81Z-86438,male,control,28.6,14.7,normal,190.51466,733.0
81Z-86445,female,control,22.1,13.8,normal,223.44833,697.0
81Z-86447,female,control,22.2,14.0,normal,209.85367,712.0
81Z-86448,female,control,23.2,13.6,normal,205.64133,780.0
81Z-86893,male,control,27.0,13.9,normal,218.85266,773.0
81Z-86894,male,control,28.6,13.8,normal,225.746,761.0
81Z-86895,male,control,26.5,14.1,normal,190.89766,790.0
81Z-86896,male,control,27.1,13.6,normal,222.68266,706.0
81Z-86915,male,control,29.4,13.4,normal,242.021,775.0
81Z-86916,male,control,29.3,13.6,normal,189.55766,719.0
81Z-86917,male,control,30.6,12.2,normal,232.256,747.0
81Z-86969,male,control,28.4,14.1,normal,228.04367,777.0
81Z-86990,male,control,30.7,13.9,normal,178.835,789.0
81Z-86991,male,control,30.3,13.4,normal,218.66167,765.0
81Z-86993,female,control,23.3,13.6,normal,209.47067,723.0
81Z-87009,female,control,23.1,13.2,normal,170.79333,678.0
81Z-87010,female,control,21.5,13.9,left eye abnormal,247.95667,609.0
81Z-87011,female,control,22.5,14.0,normal,186.87666,762.0
81Z-87160,female,control,23.1,13.0,normal,184.96233,724.0
81Z-87249,male,control,29.6,13.9,normal,185.91966,746.0
81Z-87251,female,control,23.0,13.7,normal,181.32434,791.0
81Z-87282,male,control,26.4,13.7,normal,169.07,663.0
81Z-87284,female,control,22.8,15.0,normal,187.64267,771.0
81Z-87289,male,control,25.7,13.5,normal,214.25766,782.0
81Z-87343,male,control,23.0,14.1,normal,218.27834,784.0
81Z-87351,male,control,26.1,14.4,normal,184.96233,763.0
81Z-87374,female,control,21.1,13.3,normal,224.78867,737.0
81Z-87375,female,control,22.4,14.1,normal,193.19533,654.0
81Z-87376,female,control,21.6,14.2,normal,206.40733,828.0
81Z-87390,male,control,30.7,13.8,normal,205.45,762.0
81Z-87391,male,control,30.2,13.6,normal,263.466,702.0
81Z-87392,male,control,28.0,13.5,normal,211.194,758.0
81Z-87393,male,control,28.7,13.7,normal,221.53366,763.0
81Z-87397,female,control,20.6,14.3,normal,160.645,745.0
81Z-87398,female,control,21.2,12.1,normal,246.61633,748.0
81Z-87399,female,control,25.2,13.8,normal,205.067,752.0
81Z-87401,female,control,20.7,13.9,normal,192.43,769.0
81Z-87466,female,control,21.3,12.9,normal,143.22133,790.0
81Z-87467,male,control,25.5,13.6,normal,157.19867,789.0
81Z-87468,male,control,30.13,12.8,normal,195.68466,779.0
81Z-87470,male,control,26.5,14.5,normal,201.046,800.0
81Z-87471,male,control,27.5,14.6,normal,199.70534,778.0
81Z-87472,male,control,29.2,14.0,normal,291.61234,784.0
81Z-87473,male,control,24.8,11.3,right eye abnormal,206.40666,554.0
81Z-87474,female,control,24.5,14.4,normal,217.321,721.0
81Z-87475,female,control,23.8,14.5,normal,158.922,752.0
81Z-87476,female,control,21.2,13.1,normal,149.923,700.0
81Z-87477,female,control,22.8,14.4,normal,186.111,682.0
81Z-87478,female,control,23.6,14.9,normal,158.34734,669.0
81Z-87654,male,control,30.1,13.5,normal,199.514,704.0
81Z-87655,male,control,26.3,14.2,normal,213.49167,789.0
81Z-87656,male,control,25.0,13.2,left eye abnormal,178.26033,731.0
81Z-87657,female,control,23.5,13.9,normal,206.024,785.0
81Z-87658,female,control,23.3,13.5,normal,222.87367,773.0
81Z-87659,female,control,23.4,13.7,normal,182.28166,797.0
81Z-87660,female,control,23.6,13.9,normal,215.215,817.0
81Z-87661,male,control,22.5,13.0,normal,188.02567,726.0
81Z-87662,male,control,23.8,13.8,normal,185.53667,789.0
81Z-87665,female,control,19.3,13.8,normal,219.81033,778.0
81Z-87666,female,control,20.9,13.6,normal,212.15134,811.0
81Z-87667,female,control,20.5,14.4,normal,206.216,789.0
81Z-87780,male,control,27.8,13.3,normal,171.942,736.0
81Z-87783,male,control,28.5,13.5,normal,163.13434,764.0
81Z-87786,female,control,24.2,13.4,normal,167.538,803.0
81Z-87787,female,control,21.3,14.6,right eye abnormal,113.73434,775.0
81Z-87798,male,control,27.8,14.5,normal,233.59633,787.0
81Z-87799,male,control,27.1,13.7,normal,198.93933,766.0
81Z-87800,male,control,28.0,12.6,normal,228.42633,742.0
81Z-87801,male,control,26.3,12.6,normal,222.491,698.0
81Z-87802,male,control,28.5,13.4,normal,228.80966,723.0
81Z-87803,male,control,27.7,14.2,normal,213.683,757.0
81Z-87804,male,control,27.6,13.7,normal,237.42534,794.0
81Z-87805,female,control,22.5,14.6,normal,236.66,747.0
81Z-87806,female,control,24.4,14.4,normal,242.97833,756.0
81Z-87807,female,control,23.5,13.8,normal,236.65967,770.0
81Z-87823,female,control,24.2,12.6,right eye abnormal,216.172,819.0
